page,会社名,勤務地
11,株式会社一休さんのは,＼ 転勤なし ／ 長
11,アイメックス株式会社,草加工場(埼玉県八潮
11,化興株式会社 | 化,≪岡谷ICから車で8
11,株式会社一休さんのは,＼ 転勤なし ／ 長
11,マルコメ株式会社 |,【本社】 長野県長野
11,マルコメ株式会社 |,【本社】 長野県長野
11,株式会社イチネン |,◆東京支店 東京都港
11,マルコメ株式会社 |,【Marukome 
11,株式会社リアルト・ハ,《転勤なし／マイカー
11,アイメックス株式会社,草加工場(埼玉県八潮
11,マルコメ株式会社 |,【東京本部】 東京都
11,マルコメ株式会社 |,北海道・宮城・東京・
11,長野県農協直販株式会,【本社】 長野県長野
11,スター精密株式会社 ,☆「菊川駅」より工場
11,スター精密株式会社 ,☆「菊川駅」より工場
11,川中島建設株式会社 ,＼ 転勤なし＆寮完備
11,株式会社ダイヤコンサ,【北海道エリア限定採
11,川中島建設株式会社 ,＼ 転勤なし＆寮完備
11,株式会社wonder,【転勤なし】 ★乃木
11,スター精密株式会社 ,☆「菊川駅」より工場
11,スター精密株式会社 ,☆「菊川駅」より工場
12,スター精密株式会社 ,☆「菊川駅」より工場
12,サンコーコンサルタン,【名古屋支店】 愛知
12,社会福祉法人　信濃の,◆生活介護事業所　ぴ
12,日本綜合建設株式会社,長野本社または松本支
12,アラインテック株式会,【UIターン歓迎／マ
12,株式会社ケイケンシス,【本社】 長野県長野
12,アラインテック株式会,【UIターン歓迎／マ
12,アラインテック株式会,【UIターン歓迎／マ
12,日本綜合建設株式会社,長野本社または松本支
12,日本綜合建設株式会社,長野本社 ◎リモート
12,株式会社アンドー |,本社または各支店 【
12,株式会社小山産業 |,＼ 転勤なし ／ 【
12,株式会社イチネン |,◆大阪本社 大阪市淀
12,株式会社 シン技術コ,本社／札幌市白石区栄
12,税理士法人三澤会計 ,長野県諏訪市高島3-
12,株式会社BBSアウト,《転勤なし／U・Iタ
12,株式会社BBSアウト,《転勤なし／U・Iタ
12,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
12,株式会社BBSアウト,《転勤なし／駅近オフ
12,ニチアスセラテック株,【U・Iターン歓迎！
12,日本ニューホランド株,【全国の各営業所】 
12,諏訪金属株式会社 |,【本店】 長野県諏訪
12,株式会社デイリーはや,【新潟越路工場】 新
12,損害保険ジャパン株式,◇転居を伴う転勤なし
12,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
12,大和ライフネクスト株,【希望エリアを最大限
12,株式会社 一迅社 |,・本社勤務：新宿区 
12,中部フーズ株式会社 ,■東海三県募集！勤務
12,中部フーズ株式会社 ,・岐阜県多治見市高根
12,株式会社創和設計 |,【本社】 長野県上伊
12,中部フーズ株式会社 ,■東海三県募集！勤務
12,塩尻市役所,市役所本庁舎、支所 
12,有限会社タバタ産業 ,【転勤なし◎】長野市
12,長野県警察 | 20,長野県警察本部、長野
12,ヴェオリア・ジェネッ,【マイカー通勤OK◎
12,株式会社ヒルストンキ,【北信】 長野市、須
12,株式会社小松電気設備,【本社】 長野県塩尻
12,マーベルキャリアコン,長野県内各地 ＊人材
12,新日本設計株式会社 ,◆名古屋駅からも徒歩
12,アスリートFA株式会,【本社】 長野県諏訪
12,新日本設計株式会社 ,◆名古屋駅からも徒歩
12,降幡自動車株式会社 ,【本社】 長野県松本
12,株式会社ユリーカ |,【本社】 長野県塩尻
12,佐田建設株式会社 |,東北営業所／宮城県仙
12,株式会社オサカベ自動,【転勤なし／U・Iタ
12,株式会社サテライトネ,★埼玉・東京・新潟・
12,ニッパツ・メック株式,【車通勤OK】【転勤
12,美保テクノス株式会社,【 転勤ナシ／車通勤
12,専門学校 岡山情報ビ,【 転勤なし／JR岡
12,専門学校 岡山情報ビ,【 転勤なし／JR岡
