,page,会社名,勤務地
492,10,株式会社ユリーカ |,【本社】 長野県塩尻
493,10,佐田建設株式会社 |,東北営業所／宮城県仙
494,10,株式会社オサカベ自動,【転勤なし／U・Iタ
495,10,株式会社サテライトネ,★埼玉・東京・新潟・
496,10,ニッパツ・メック株式,【車通勤OK】【転勤
497,10,美保テクノス株式会社,【 転勤ナシ／車通勤
498,10,専門学校 岡山情報ビ,【 転勤なし／JR岡
499,10,専門学校 岡山情報ビ,【 転勤なし／JR岡
500,11,藤田エンジニアリング,【本社】 群馬県高崎
501,11,株式会社日設 | 【,希望勤務地を考慮しま
502,11,株式会社刷新,【東京支店】 東京都
503,11,ホクシンハウス株式会,長野市、松本市、佐久
504,11,株式会社フジキン |,岩手県奥州市江刺岩谷
505,11,長野ドライルーブ株式,【箕輪工場】 長野県
506,11,ホクシンハウス株式会,長野市、松本市、佐久
507,11,ホクシンハウス株式会,【長野本社】JR長野
508,11,株式会社刷新,【東京支店】 東京都
509,11,山岡石材工業株式会社,希望勤務地を考慮し黒
510,11,株式会社パパまるハウ,以下の新潟・長野・山
511,11,ホクシンハウス株式会,【長野本社】JR長野
512,11,ホクシンハウス株式会,【長野・松本・佐久エ
513,11,株式会社野田建設 |,【広丘駅から徒歩約2
514,11,ホクシンハウス株式会,【長野本社】JR長野
515,11,ホクシンハウス株式会,【長野本社】JR長野
516,11,株式会社ジェスクホリ,◎金沢、富山、新潟、
517,11,株式会社ダイヤコンサ,【全国募集】 北海道
518,11,ルミーズ株式会社 |,＼ 転勤なし ／ 【
519,11,石田建設株式会社 |,【本社】 長野県駒ヶ
520,11,石田建設株式会社 |,【本社】 長野県駒ヶ
521,11,株式会社ダイヤコンサ,【全国募集】 北海道
522,11,株式会社綿半ホームエ,本社／長野県長野市南
523,11,株式会社ダイヤコンサ,【全国募集】 北海道
524,11,石田建設株式会社 |,【本社】 長野県駒ヶ
525,11,株式会社ジェスクホリ,◎金沢、富山、新潟、
526,11,株式会社ナガエ | ,富山県高岡市荒屋敷2
527,11,株式会社アルトナー ,横浜・宇都宮・大阪・
528,11,アラインテック株式会,【UIターン歓迎／マ
529,11,株式会社一休さんのは,＼ 転勤なし ／ 長
530,11,アイメックス株式会社,草加工場(埼玉県八潮
531,11,化興株式会社 | 化,≪岡谷ICから車で8
532,11,株式会社一休さんのは,＼ 転勤なし ／ 長
533,11,マルコメ株式会社 |,【本社】 長野県長野
534,11,マルコメ株式会社 |,【本社】 長野県長野
535,11,株式会社イチネン |,◆東京支店 東京都港
536,11,マルコメ株式会社 |,【Marukome 
537,11,株式会社リアルト・ハ,《転勤なし／マイカー
538,11,アイメックス株式会社,草加工場(埼玉県八潮
539,11,マルコメ株式会社 |,【東京本部】 東京都
540,11,マルコメ株式会社 |,北海道・宮城・東京・
541,11,長野県農協直販株式会,【本社】 長野県長野
542,11,スター精密株式会社 ,☆「菊川駅」より工場
543,11,スター精密株式会社 ,☆「菊川駅」より工場
544,11,川中島建設株式会社 ,＼ 転勤なし＆寮完備
545,11,株式会社ダイヤコンサ,【北海道エリア限定採
546,11,川中島建設株式会社 ,＼ 転勤なし＆寮完備
547,11,株式会社wonder,【転勤なし】 ★乃木
548,11,スター精密株式会社 ,☆「菊川駅」より工場
549,11,スター精密株式会社 ,☆「菊川駅」より工場
550,12,スター精密株式会社 ,☆「菊川駅」より工場
551,12,サンコーコンサルタン,【名古屋支店】 愛知
552,12,社会福祉法人　信濃の,◆生活介護事業所　ぴ
553,12,日本綜合建設株式会社,長野本社または松本支
554,12,アラインテック株式会,【UIターン歓迎／マ
555,12,株式会社ケイケンシス,【本社】 長野県長野
556,12,アラインテック株式会,【UIターン歓迎／マ
557,12,アラインテック株式会,【UIターン歓迎／マ
558,12,日本綜合建設株式会社,長野本社または松本支
559,12,日本綜合建設株式会社,長野本社 ◎リモート
560,12,株式会社アンドー |,本社または各支店 【
561,12,株式会社小山産業 |,＼ 転勤なし ／ 【
562,12,株式会社イチネン |,◆大阪本社 大阪市淀
563,12,株式会社 シン技術コ,本社／札幌市白石区栄
564,12,税理士法人三澤会計 ,長野県諏訪市高島3-
565,12,株式会社BBSアウト,《転勤なし／U・Iタ
566,12,株式会社BBSアウト,《転勤なし／U・Iタ
567,12,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
568,12,株式会社BBSアウト,《転勤なし／駅近オフ
569,12,ニチアスセラテック株,【U・Iターン歓迎！
570,12,日本ニューホランド株,【全国の各営業所】 
571,12,諏訪金属株式会社 |,【本店】 長野県諏訪
572,12,株式会社デイリーはや,【新潟越路工場】 新
573,12,損害保険ジャパン株式,◇転居を伴う転勤なし
574,12,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
575,12,大和ライフネクスト株,【希望エリアを最大限
576,12,株式会社 一迅社 |,・本社勤務：新宿区 
577,12,中部フーズ株式会社 ,■東海三県募集！勤務
578,12,中部フーズ株式会社 ,・岐阜県多治見市高根
579,12,株式会社創和設計 |,【本社】 長野県上伊
580,12,中部フーズ株式会社 ,■東海三県募集！勤務
581,12,塩尻市役所,市役所本庁舎、支所 
582,12,有限会社タバタ産業 ,【転勤なし◎】長野市
583,12,長野県警察 | 20,長野県警察本部、長野
584,12,ヴェオリア・ジェネッ,【マイカー通勤OK◎
585,12,株式会社ヒルストンキ,【北信】 長野市、須
586,12,株式会社小松電気設備,【本社】 長野県塩尻
587,12,マーベルキャリアコン,長野県内各地 ＊人材
588,12,新日本設計株式会社 ,◆名古屋駅からも徒歩
589,12,アスリートFA株式会,【本社】 長野県諏訪
590,12,新日本設計株式会社 ,◆名古屋駅からも徒歩
591,12,降幡自動車株式会社 ,【本社】 長野県松本
592,12,株式会社ユリーカ |,【本社】 長野県塩尻
593,12,佐田建設株式会社 |,東北営業所／宮城県仙
594,12,株式会社オサカベ自動,【転勤なし／U・Iタ
595,12,株式会社サテライトネ,★埼玉・東京・新潟・
596,12,ニッパツ・メック株式,【車通勤OK】【転勤
597,12,美保テクノス株式会社,【 転勤ナシ／車通勤
598,12,専門学校 岡山情報ビ,【 転勤なし／JR岡
599,12,専門学校 岡山情報ビ,【 転勤なし／JR岡
