,page,会社名,勤務地
114,5,ホクシンハウス株式会,【長野本社】JR長野
115,5,ホクシンハウス株式会,【長野本社】JR長野
116,5,株式会社ジェスクホリ,◎金沢、富山、新潟、
117,5,株式会社ダイヤコンサ,【全国募集】 北海道
118,5,ルミーズ株式会社 |,＼ 転勤なし ／ 【
119,5,石田建設株式会社 |,【本社】 長野県駒ヶ
120,5,石田建設株式会社 |,【本社】 長野県駒ヶ
121,5,株式会社ダイヤコンサ,【全国募集】 北海道
122,5,株式会社綿半ホームエ,本社／長野県長野市南
123,5,株式会社ダイヤコンサ,【全国募集】 北海道
124,5,石田建設株式会社 |,【本社】 長野県駒ヶ
125,5,株式会社ジェスクホリ,◎金沢、富山、新潟、
126,5,株式会社ナガエ | ,富山県高岡市荒屋敷2
127,5,株式会社アルトナー ,横浜・宇都宮・大阪・
128,5,アラインテック株式会,【UIターン歓迎／マ
129,5,株式会社一休さんのは,＼ 転勤なし ／ 長
130,5,アイメックス株式会社,草加工場(埼玉県八潮
131,5,化興株式会社 | 化,≪岡谷ICから車で8
132,5,株式会社一休さんのは,＼ 転勤なし ／ 長
133,5,マルコメ株式会社 |,【本社】 長野県長野
134,5,マルコメ株式会社 |,【本社】 長野県長野
135,5,株式会社イチネン |,◆東京支店 東京都港
136,5,マルコメ株式会社 |,【Marukome 
137,5,株式会社リアルト・ハ,《転勤なし／マイカー
138,5,アイメックス株式会社,草加工場(埼玉県八潮
139,5,マルコメ株式会社 |,【東京本部】 東京都
140,5,マルコメ株式会社 |,北海道・宮城・東京・
141,5,長野県農協直販株式会,【本社】 長野県長野
142,5,スター精密株式会社 ,☆「菊川駅」より工場
143,5,スター精密株式会社 ,☆「菊川駅」より工場
144,5,川中島建設株式会社 ,＼ 転勤なし＆寮完備
145,5,株式会社ダイヤコンサ,【北海道エリア限定採
146,5,川中島建設株式会社 ,＼ 転勤なし＆寮完備
147,5,株式会社wonder,【転勤なし】 ★乃木
148,5,スター精密株式会社 ,☆「菊川駅」より工場
149,5,スター精密株式会社 ,☆「菊川駅」より工場
150,7,藤田エンジニアリング,【本社】 群馬県高崎
151,7,株式会社日設 | 【,希望勤務地を考慮しま
152,7,株式会社刷新,【東京支店】 東京都
153,7,ホクシンハウス株式会,長野市、松本市、佐久
154,7,株式会社フジキン |,岩手県奥州市江刺岩谷
155,7,長野ドライルーブ株式,【箕輪工場】 長野県
156,7,ホクシンハウス株式会,長野市、松本市、佐久
157,7,ホクシンハウス株式会,【長野本社】JR長野
158,7,株式会社刷新,【東京支店】 東京都
159,7,山岡石材工業株式会社,希望勤務地を考慮し黒
160,7,株式会社パパまるハウ,以下の新潟・長野・山
161,7,ホクシンハウス株式会,【長野本社】JR長野
162,7,ホクシンハウス株式会,【長野・松本・佐久エ
163,7,株式会社野田建設 |,【広丘駅から徒歩約2
164,7,ホクシンハウス株式会,【長野本社】JR長野
165,7,ホクシンハウス株式会,【長野本社】JR長野
166,7,株式会社ジェスクホリ,◎金沢、富山、新潟、
167,7,株式会社ダイヤコンサ,【全国募集】 北海道
168,7,ルミーズ株式会社 |,＼ 転勤なし ／ 【
169,7,石田建設株式会社 |,【本社】 長野県駒ヶ
170,7,石田建設株式会社 |,【本社】 長野県駒ヶ
171,7,株式会社ダイヤコンサ,【全国募集】 北海道
172,7,株式会社綿半ホームエ,本社／長野県長野市南
173,7,株式会社ダイヤコンサ,【全国募集】 北海道
174,7,石田建設株式会社 |,【本社】 長野県駒ヶ
175,7,株式会社ジェスクホリ,◎金沢、富山、新潟、
176,7,株式会社ナガエ | ,富山県高岡市荒屋敷2
177,7,株式会社アルトナー ,横浜・宇都宮・大阪・
178,7,アラインテック株式会,【UIターン歓迎／マ
179,7,株式会社一休さんのは,＼ 転勤なし ／ 長
180,7,アイメックス株式会社,草加工場(埼玉県八潮
181,7,化興株式会社 | 化,≪岡谷ICから車で8
182,7,株式会社一休さんのは,＼ 転勤なし ／ 長
183,7,マルコメ株式会社 |,【本社】 長野県長野
184,7,マルコメ株式会社 |,【本社】 長野県長野
185,7,株式会社イチネン |,◆東京支店 東京都港
186,7,マルコメ株式会社 |,【Marukome 
187,7,株式会社リアルト・ハ,《転勤なし／マイカー
188,7,アイメックス株式会社,草加工場(埼玉県八潮
